id;reference;type;mode_de_transaction;etat;description;prix;adresse;adresse_tronque;latitude;longitude;superficie;annee_de_construction;nombre_de_pieces;nombre_de_douches;nombre_de_garages;mode_de_paiement;papier;acce_eelectricite;acces_eau;acces_adsl;meuble;en_promo;periode;distance_primaire;distance_secondaire;distance_lycee;distancehopital;distanceclinique;url_photo_principale;url_photo_1;url_photo_2;url_photo_3;url_photo_4;url_photo_5;url_photo_6;url_video
1;redundant Account d'Alésia;LOCAL_DE_COMMERCE;VENDRE;NEUF;../fake-data/blob/hipster.txt;54397;Developpeur;Bretagne;62388;92460;10285;28003;75324;62068;81729;MORATOIRE;TITRE_FONCIER;true;false;true;false;2022-06-08;MOIS;31160;97144;84437;37284;77996;budgetary;Synergistic Grocery;markets;Awesome bluetooth;calculate;incremental Consultant;structure a;Shoes
2;Fantastic;LOCAL_DE_COMMERCE;VENDRE;NEUF;../fake-data/blob/hipster.txt;25265;neural;1080p Cotton 24/365;7832;12505;48019;10874;62286;79660;393;MORATOIRE;BAIL;true;false;true;false;2022-06-08;MOIS;62326;58905;50660;139;25190;b Implemented Soap;Fresh;Granite Multi-layered;vortals;Berkshire;Multi-layered channels;parsing Paris Steel;la
3;Kids;APPARTEMENT;LOCATION;NEUF;../fake-data/blob/hipster.txt;17455;optical;wireless Multi-layered;17871;14976;7351;23469;60233;93586;80267;COMPTANT;DELIBERATION;true;false;false;false;2022-06-08;SEMAINE;45951;40722;12628;70142;42394;Multi-lateral Buckinghamshire c;back-end program;enterprise hacking;b;calculating Peso Pizza;optimal Incredible Implemented;Iceland compelling;Alsace Specialiste hack
4;port Account;LOCAL_DE_COMMERCE;VENDRE;OCCASION;../fake-data/blob/hipster.txt;59827;supply-chains Wooden;groupware Coordinateur Nouvelle-Zélande;56439;4257;1431;60860;5912;11954;48187;COMPTANT;DELIBERATION;true;false;false;false;2022-06-08;ANNEE;22085;80935;23534;27723;43648;PCI bus;definition navigating;Steel index;Sol Buckinghamshire;pricing;Buckinghamshire;Jewelery 24/7;Computers b
5;interface Health real-time;VERGER;VENDRE;NEUF;../fake-data/blob/hipster.txt;49809;uniform;Gorgeous Panama;15490;80130;31890;44653;52319;66379;51164;COMPTANT;DELIBERATION;false;true;true;true;2022-06-08;MOIS;93874;91614;4678;24171;11611;networks THX;JSON;a;Superviseur calculate indexing;bandwidth-monitored;Rustic;mobile Analyste;Ingenieur
6;Basse-Normandie;LOCAL_DE_COMMERCE;VENDRE;OCCASION;../fake-data/blob/hipster.txt;48888;invoice Account;Sommerard turn-key Borders;74348;50392;82474;85807;66606;30555;66759;COMPTANT;TITRE_FONCIER;true;true;true;true;2022-06-08;JOUR;2622;19443;72507;34417;34011;c calculating Cambodge;approach Cedi applications;sensor Sports Chips;indexing b distributed;leverage;context-sensitive Shirt line;Auto Richelieu adapter;withdrawal Tanzanian Generic
7;c;CHAMBRE;VENDRE;OCCASION;../fake-data/blob/hipster.txt;81891;Towels e-business;Fantastic client-driven;80145;90752;57892;20291;24378;21485;25085;COMPTANT;TITRE_FONCIER;false;false;false;true;2022-06-08;ANNEE;1909;69065;82813;82524;6820;c Cambridgeshire;system bricks-and-clicks;fuchsia;Granite;Steel Dollar;Computers online Universal;Account networks;Front-line Tuna
8;parse synthesize;VERGER;VENDRE;NEUF;../fake-data/blob/hipster.txt;19105;Fresh Baby;transmit Allemagne;8371;51614;74324;8224;70914;68411;72517;COMPTANT;BAIL;false;true;true;true;2022-06-08;ANNEE;3362;44328;1222;66134;18342;Rustic Chips withdrawal;Ergonomic Front-line;Cotton;Unbranded;red Steel;generating;channels Bedfordshire;Aquitaine c SDD
9;global Steel;CHAMBRE;LOCATION;OCCASION;../fake-data/blob/hipster.txt;5521;Forint EXE Outdoors;fuchsia Champagne-Ardenne AGP;68960;70667;11344;44295;80235;58775;77751;COMPTANT;DELIBERATION;true;false;true;false;2022-06-08;JOUR;65028;26682;59878;33084;28323;Limousin;calculating Money unis;compressing Bike wireless;Steel;Credit Corse;a Rubber;Salad;human-resource Mexican Gorgeous
10;Savings Buckinghamshire reboot;HANGAR;VENDRE;NEUF;../fake-data/blob/hipster.txt;99911;GB Champagne-Ardenne Producteur;Licensed a Health;56089;22960;11494;72431;39708;27937;92769;COMPTANT;BAIL;false;false;false;false;2022-06-08;JOUR;62193;40322;76356;91363;12882;strategize;primary Peso;du virtual;Vaugirard;Agent Checking;deposit c a;red Account incubate;SCSI
